profession_name,profession_id
soundtrack,0
actor,1
miscellaneous,2
actress,3
music_department,4
writer,5
director,6
producer,7
stunts,8
make_up_department,9
composer,10
assistant_director,11
music_artist,12
editor,13
cinematographer,14
camera_department,15
casting_director,16
script_department,17
costume_department,18
animation_department,19
art_department,20
executive,21
special_effects,22
production_designer,23
production_manager,24
editorial_department,25
sound_department,26
talent_agent,27
casting_department,28
costume_designer,29
art_director,30
visual_effects,31
location_management,32
set_decorator,33
transportation_department,34
manager,35
,36
legal,37
assistant,38
podcaster,39
publicist,40
production_department,41
electrical_department,42
